NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,CountJunctions_y,WardArea_y,JunctionRatio_y
Chessington South,E05000405,755.173,0,E09000021,Kingston upon Thames,50840,236,7551782,0.00003125
Tolworth and Hook Rise,E05000414,259.464,0,E09000021,Kingston upon Thames,117160,160,2594666,0.000061665
Berrylands,E05000401,145.39,0,E09000021,Kingston upon Thames,50449,103,1453887,0.000070844
Alexandra,E05000400,268.506,0,E09000021,Kingston upon Thames,50456,157,2685019,0.000058472
Beverley,E05000402,187.821,0,E09000021,Kingston upon Thames,117161,107,1878204,0.000056969
Coombe Hill,E05000406,442.17,0,E09000021,Kingston upon Thames,117159,220,4421680,0.000049754
Chessington North and Hook,E05000404,192.98,0,E09000021,Kingston upon Thames,50530,160,1929805,0.000082909
Surbiton Hill,E05000413,166.482,0,E09000021,Kingston upon Thames,50457,167,1664836,0.00010031
Old Malden,E05000410,180.016,0,E09000021,Kingston upon Thames,50455,133,1800152,0.000073882
St. Mark's,E05000412,137.578,0,E09000021,Kingston upon Thames,50450,125,1375763,0.000090858
Grove,E05000408,192.034,0,E09000021,Kingston upon Thames,50458,226,1920347,0.000117687
Canbury,E05000403,124.241,0,E09000021,Kingston upon Thames,51118,131,1242408,0.00010544
Norbiton,E05000409,134.711,0,E09000021,Kingston upon Thames,50451,115,1347124,0.000085367
Coombe Vale,E05000407,164.71,0,E09000021,Kingston upon Thames,50452,133,1647111,0.000080747
St. James,E05000411,216.584,0,E09000021,Kingston upon Thames,50454,153,2165871,0.000070641
Tudor,E05000415,158.255,0,E09000021,Kingston upon Thames,51117,167,1582521,0.000105527
Coulsdon East,E05000150,774.358,0,E09000008,Croydon,50897,181,7743610,0.000023374
Selsdon and Ballards,E05000162,639.834,0,E09000008,Croydon,50900,162,6398350,0.000025319
Coulsdon West,E05000151,499.147,0,E09000008,Croydon,51328,200,4991428,0.000040068
Waddon,E05000167,364.759,0,E09000008,Croydon,51256,254,3647574,0.000069635
Kenley,E05000156,645.609,0,E09000008,Croydon,50898,241,6456114,0.000037329
Purley,E05000159,417.518,0,E09000008,Croydon,51329,245,4175166,0.00005868
Sanderstead,E05000160,634.697,0,E09000008,Croydon,50899,206,6346947,0.000032456
Heathfield,E05000155,871.342,0,E09000008,Croydon,51332,254,8713469,0.00002915
Fairfield,E05000153,377.221,0,E09000008,Croydon,51198,320,3772226,0.00008483
Broad Green,E05000149,266.195,0,E09000008,Croydon,51196,241,2661951,0.000090535
West Thornton,E05000168,197.117,0,E09000008,Croydon,51197,188,1971151,0.000095375
Bensham Manor,E05000148,144.147,0,E09000008,Croydon,51145,128,1441463,0.000088798
Norbury,E05000158,251.818,0,E09000008,Croydon,51192,194,2518187,0.000077039
New Addington,E05000157,241.71,0,E09000008,Croydon,50901,141,2417072,0.000058335
Croham,E05000152,352.705,0,E09000008,Croydon,51331,232,3527083,0.000065776
Fieldway,E05000154,148.649,0,E09000008,Croydon,51261,96,1486485,0.000064581
Shirley,E05000163,280.541,0,E09000008,Croydon,116954,234,2805406,0.00008341
Selhurst,E05000161,227.303,0,E09000008,Croydon,51199,182,2273030,0.000080069
Ashburton,E05000147,271.173,0,E09000008,Croydon,51259,203,2711714,0.00007486
Woodside,E05000169,216.651,0,E09000008,Croydon,116956,175,2166519,0.000080774
Thornton Heath,E05000165,168.107,0,E09000008,Croydon,51232,157,1681076,0.000093392
Upper Norwood,E05000166,262.328,0,E09000008,Croydon,119328,187,2623289,0.000071284
South Norwood,E05000164,237.817,0,E09000008,Croydon,51146,212,2378172,0.000089144
Addiscombe,E05000146,158.808,0,E09000008,Croydon,51257,155,1588079,0.000097602
Darwin,E05000117,2903.96,0,E09000006,Bromley,117267,179,29039637,0.000006164
Hayes and Coney Hall,E05000119,1082.306,0,E09000006,Bromley,117271,328,10823010,0.000030305
Bromley Common and Keston,E05000108,830.82,0,E09000006,Bromley,50903,302,8308219,0.000036349
Chelsfield and Pratts Bottom,E05000110,1256.32,0,E09000006,Bromley,117270,288,12563169,0.000022924
Biggin Hill,E05000107,828.039,0,E09000006,Bromley,50896,130,8280370,0.000015699
West Wickham,E05000127,441.047,0,E09000006,Bromley,117268,255,4410464,0.000057817
Clock House,E05000112,226.647,0,E09000006,Bromley,117277,150,2266433,0.000066183
Kelsey and Eden Park,E05000120,519.895,0,E09000006,Bromley,117269,363,5198963,0.000069821
Farnborough and Crofton,E05000118,700.584,0,E09000006,Bromley,117272,303,7005826,0.000043249
Shortlands,E05000126,245.665,0,E09000006,Bromley,117276,164,2456676,0.000066756
Bromley Town,E05000109,371.656,0,E09000006,Bromley,117281,259,3716585,0.000069687
Bickley,E05000106,486.913,0,E09000006,Bromley,51335,324,4869086,0.000066542
Petts Wood and Knoll,E05000124,430.127,0,E09000006,Bromley,50912,189,4301311,0.00004394
Crystal Palace,E05000116,229.114,0,E09000006,Bromley,117275,185,2291141,0.000080745
Penge and Cator,E05000123,295.972,0,E09000006,Bromley,117278,198,2959729,0.000066898
Copers Cope,E05000113,328.692,0,E09000006,Bromley,117279,292,3286948,0.000088836
Plaistow and Sundridge,E05000125,400.094,0,E09000006,Bromley,51336,236,4000908,0.000058986
Chislehurst,E05000111,1044.12,0,E09000006,Bromley,50911,378,10441236,0.000036202
Mottingham and Chislehurst North,E05000121,244.184,0,E09000006,Bromley,51338,118,2441838,0.000048324
Orpington,E05000122,425.616,0,E09000006,Bromley,117280,245,4256200,0.000057563
Cray Valley West,E05000115,393.85,0,E09000006,Bromley,117273,226,3938484,0.000057382
Cray Valley East,E05000114,1327.866,0,E09000006,Bromley,117274,325,13278628,0.000024475
Bedfont,E05000346,444.841,0,E09000018,Hounslow,51131,217,4448396,0.000048781
Hanworth,E05000353,323.258,0,E09000018,Hounslow,51122,252,3232592,0.000077956
Cranford,E05000350,272.63,0,E09000018,Hounslow,51125,269,2726266,0.000098669
Syon,E05000364,285.378,13.187,E09000018,Hounslow,117104,226,2853762,0.000079193
Heston West,E05000357,382.657,0,E09000018,Hounslow,51133,221,3826597,0.000057753
Heston East,E05000356,205.913,0,E09000018,Hounslow,117113,179,2059103,0.000086931
Osterley and Spring Grove,E05000363,627.784,0,E09000018,Hounslow,117103,239,6277863,0.00003807
Brentford,E05000347,318.351,3.263,E09000018,Hounslow,117105,251,3183527,0.000078843
Chiswick Homefields,E05000348,225.923,22.286,E09000018,Hounslow,117106,131,2259239,0.000057984
Feltham West,E05000352,318.105,0,E09000018,Hounslow,117107,223,3181055,0.000070102
Hanworth Park,E05000354,366.126,0,E09000018,Hounslow,51123,238,3661220,0.000065005
Feltham North,E05000351,338.448,0,E09000018,Hounslow,117102,217,3384548,0.000064114
Hounslow Heath,E05000359,278.178,0,E09000018,Hounslow,117108,155,2781809,0.000055719
Hounslow West,E05000361,162.018,0,E09000018,Hounslow,117109,182,1620152,0.000112335
Heston Central,E05000355,168.478,0,E09000018,Hounslow,117112,164,1684781,0.000097342
Hounslow South,E05000360,179.011,0,E09000018,Hounslow,117110,255,1790106,0.000142449
Isleworth,E05000362,203.089,6.436,E09000018,Hounslow,117111,188,2030917,0.000092569
Hounslow Central,E05000358,173.393,0,E09000018,Hounslow,117116,155,1733931,0.000089392
Chiswick Riverside,E05000349,208.007,15.584,E09000018,Hounslow,117114,173,2080064,0.00008317
Turnham Green,E05000365,176.953,0,E09000018,Hounslow,117115,204,1769512,0.000115286
Norwood Green,E05000186,379.609,0,E09000009,Ealing,116744,192,3796151,0.000050577
Southall Green,E05000190,158.616,0,E09000009,Ealing,51134,205,1586174,0.000129241
Northolt West End,E05000185,354.536,0,E09000009,Ealing,51089,208,3545383,0.000058667
Dormers Wells,E05000172,225.73,0,E09000009,Ealing,116745,281,2257270,0.000124486
Greenford Broadway,E05000177,251.669,0,E09000009,Ealing,116746,280,2516688,0.000111257
North Greenford,E05000183,325.737,0,E09000009,Ealing,71036,166,3257413,0.00005096
Northfield,E05000182,154.011,0,E09000009,Ealing,50524,141,1540106,0.000091552
East Acton,E05000175,427.588,0,E09000009,Ealing,116749,469,4275907,0.000109684
Southall Broadway,E05000189,161.725,0,E09000009,Ealing,51091,133,1617196,0.000082241
Elthorne,E05000176,199.963,0,E09000009,Ealing,51087,175,1999653,0.000087515
Walpole,E05000192,146.596,0,E09000009,Ealing,51112,169,1465968,0.000115282
Lady Margaret,E05000181,154.182,0,E09000009,Ealing,50955,475,1541810,0.000308079
Northolt Mandeville,E05000184,275.664,0,E09000009,Ealing,51013,211,2756665,0.000076541
Hobbayne,E05000180,220.937,0,E09000009,Ealing,51086,199,2209359,0.000090071
Cleveland,E05000171,222.856,0,E09000009,Ealing,50521,161,2228554,0.000072244
Greenford Green,E05000178,338.477,0,E09000009,Ealing,116747,274,3384776,0.00008095
Perivale,E05000187,336.775,0,E09000009,Ealing,51106,325,3367723,0.000096504
Ealing Common,E05000174,214.106,0,E09000009,Ealing,51111,233,2141052,0.000108825
Ealing Broadway,E05000173,185.676,0,E09000009,Ealing,51110,198,1856766,0.000106637
South Acton,E05000188,171.92,0,E09000009,Ealing,51062,170,1719219,0.000098882
Southfield,E05000191,142.869,0,E09000009,Ealing,116748,229,1428683,0.000160287
Acton Central,E05000170,177.463,0,E09000009,Ealing,51060,147,1774621,0.000082834
Hanger Hill,E05000179,327.724,0,E09000009,Ealing,50522,319,3277213,0.000097338
Upminster,E05000323,2253.736,0,E09000016,Havering,116694,244,22537302,0.000010826
Rainham and Wennington,E05000318,1688.01,154.284,E09000016,Havering,50925,271,16880092,0.000016054
South Hornchurch,E05000321,687.318,56.479,E09000016,Havering,116695,276,6873151,0.000040156
Elm Park,E05000308,366.535,0,E09000016,Havering,116696,183,3665338,0.000049927
Brooklands,E05000306,420.264,0,E09000016,Havering,116702,201,4202621,0.000047827
Romford Town,E05000319,286.473,0,E09000016,Havering,116703,295,2864698,0.000102977
Mawneys,E05000316,304.261,0,E09000016,Havering,51287,200,3042646,0.000065732
Pettits,E05000317,395.457,0,E09000016,Havering,116708,200,3954584,0.000050574
Hacton,E05000311,246.542,0,E09000016,Havering,116704,192,2465418,0.000077877
St. Andrew's,E05000320,267.712,0,E09000016,Havering,116705,178,2677112,0.000066489
Emerson Park,E05000309,464.243,0,E09000016,Havering,116706,198,4642411,0.00004265
Squirrel's Heath,E05000322,265.147,0,E09000016,Havering,116697,180,2651477,0.000067886
Harold Wood,E05000312,758.973,0,E09000016,Havering,116699,281,7589721,0.000037023
Cranham,E05000307,655.501,0,E09000016,Havering,116707,226,6555072,0.000034477
Havering Park,E05000313,978.33,0,E09000016,Havering,116698,209,9783262,0.000021363
Heaton,E05000314,341.564,0,E09000016,Havering,116700,178,3415652,0.000052113
Gooshays,E05000310,775.896,0,E09000016,Havering,116701,249,7758962,0.000032091
Hylands,E05000315,289.774,0,E09000016,Havering,50930,214,2897748,0.00007385
Heathrow Villages,E05000331,2352.117,0,E09000017,Hillingdon,116716,763,23521174,0.000032438
Harefield,E05000330,1522.704,0,E09000017,Hillingdon,51039,172,15227017,0.000011295
West Drayton,E05000342,349.07,0,E09000017,Hillingdon,116720,247,3490744,0.000070758
Yiewsley,E05000345,402.251,0,E09000017,Hillingdon,116722,241,4022507,0.000059912
Uxbridge South,E05000341,311.447,0,E09000017,Hillingdon,116718,241,3114474,0.00007738
Brunel,E05000326,327.691,0,E09000017,Hillingdon,51033,241,3276877,0.000073545
Uxbridge North,E05000340,464.118,0,E09000017,Hillingdon,51032,278,4641169,0.000059898
Hillingdon East,E05000332,359.812,0,E09000017,Hillingdon,116723,269,3598128,0.000074761
Ickenham,E05000333,620.442,0,E09000017,Hillingdon,51031,231,6204430,0.000037231
West Ruislip,E05000343,438.74,0,E09000017,Hillingdon,51023,233,4387401,0.000053106
Northwood,E05000335,739.794,0,E09000017,Hillingdon,51029,252,7397931,0.000034063
South Ruislip,E05000338,741.795,0,E09000017,Hillingdon,116719,325,7417907,0.000043812
Manor,E05000334,197.418,0,E09000017,Hillingdon,51022,244,1974144,0.000123597
Eastcote and East Ruislip,E05000329,406.341,0,E09000017,Hillingdon,116724,220,4063443,0.000054141
Northwood Hills,E05000336,332.91,0,E09000017,Hillingdon,51028,196,3329099,0.000058874
Pinkwell,E05000337,274.833,0,E09000017,Hillingdon,116721,243,2748307,0.000088418
Botwell,E05000325,436.277,0,E09000017,Hillingdon,116717,274,4362806,0.000062803
Charville,E05000328,297.433,0,E09000017,Hillingdon,51098,150,2974323,0.000050431
Townfield,E05000339,349.833,0,E09000017,Hillingdon,51092,225,3498308,0.000064316
Barnhill,E05000324,211.821,0,E09000017,Hillingdon,51097,189,2118237,0.000089225
Yeading,E05000344,232.126,0,E09000017,Hillingdon,51090,192,2321229,0.000082714
Cavendish,E05000327,201.145,0,E09000017,Hillingdon,51021,200,2011439,0.000099431
Roxeth,E05000302,157.492,0,E09000015,Harrow,51083,126,1574928,0.000080003
Harrow on the Hill,E05000289,357.209,0,E09000015,Harrow,50518,250,3572086,0.000069987
Pinner,E05000297,327.686,0,E09000015,Harrow,51019,177,3276849,0.000054015
Pinner South,E05000298,234.561,0,E09000015,Harrow,51020,153,2345614,0.000065228
Greenhill,E05000288,174.49,0,E09000015,Harrow,51077,186,1744879,0.000106597
Headstone North,E05000292,329.634,0,E09000015,Harrow,51027,168,3296331,0.000050965
Marlborough,E05000296,164.663,0,E09000015,Harrow,51078,153,1646604,0.000092918
Harrow Weald,E05000290,458.973,0,E09000015,Harrow,51015,186,4589702,0.000040525
Stanmore Park,E05000303,445.929,0,E09000015,Harrow,50516,272,4459264,0.000060996
Canons,E05000286,562.632,0,E09000015,Harrow,116972,256,5626371,0.0000455
Rayners Lane,E05000300,152.974,0,E09000015,Harrow,50957,221,1529736,0.000144469
Roxbourne,E05000301,150.576,0,E09000015,Harrow,51082,198,1505755,0.000131495
West Harrow,E05000305,151.462,0,E09000015,Harrow,51026,93,1514646,0.0000614
Hatch End,E05000291,327.866,0,E09000015,Harrow,51014,230,3278671,0.00007015
Headstone South,E05000293,146.764,0,E09000015,Harrow,51080,113,1467633,0.000076994
Kenton West,E05000295,176.456,0,E09000015,Harrow,50514,83,1764597,0.000047036
Wealdstone,E05000304,119.595,0,E09000015,Harrow,51079,130,1195976,0.000108697
Belmont,E05000285,177.704,0,E09000015,Harrow,116973,110,1777022,0.000061901
Kenton East,E05000294,127.926,0,E09000015,Harrow,50511,121,1279286,0.000094584
Queensbury,E05000299,161.364,0,E09000015,Harrow,116974,155,1613611,0.000096057
Edgware,E05000287,140.319,0,E09000015,Harrow,116975,137,1403186,0.000097635
Northwick Park,E05000096,267.991,0,E09000005,Brent,51109,184,2679938,0.000068658
Wembley Central,E05000104,160.424,0,E09000005,Brent,51105,142,1604224,0.000088516
Preston,E05000097,238.828,0,E09000005,Brent,51071,178,2388248,0.000074531
Stonebridge,E05000100,405.063,0,E09000005,Brent,116943,280,4050631,0.000069125
Welsh Harp,E05000103,231.897,0,E09000005,Brent,116949,266,2318944,0.000114707
Barnhill,E05000086,297.908,0,E09000005,Brent,116945,242,2979037,0.000081234
Fryent,E05000090,265.938,0,E09000005,Brent,116950,221,2659395,0.000083101
Sudbury,E05000101,212.48,0,E09000005,Brent,116944,157,2124778,0.00007389
Alperton,E05000085,205.853,0,E09000005,Brent,51069,229,2058549,0.000111243
Kensal Green,E05000092,112.008,0,E09000005,Brent,116951,116,1120049,0.000103566
Harlesden,E05000091,111.37,0,E09000005,Brent,116952,124,1113706,0.00011134
Willesden Green,E05000105,154.803,0,E09000005,Brent,50490,120,1548053,0.000077516
Queens Park,E05000098,148.562,0,E09000005,Brent,116947,114,1485633,0.000076735
Brondesbury Park,E05000087,172.942,0,E09000005,Brent,116953,138,1729413,0.000079795
Kilburn,E05000094,94.4,0,E09000005,Brent,50487,108,943995,0.000114407
Tokyngton,E05000102,275.917,0,E09000005,Brent,51104,242,2759199,0.000087706
Kenton,E05000093,224.315,0,E09000005,Brent,116946,178,2243129,0.000079353
Dudden Hill,E05000089,168.144,0,E09000005,Brent,116948,165,1681458,0.000098129
Dollis Hill,E05000088,229.956,0,E09000005,Brent,50548,164,2299551,0.000071318
Mapesbury,E05000095,139.347,0,E09000005,Brent,50489,129,1393466,0.000092574
Queensbury,E05000099,205.124,0,E09000005,Brent,50512,217,2051245,0.000105789
Underhill,E05000060,455.053,0,E09000003,Barnet,116789,238,4550549,0.000052301
High Barnet,E05000056,830.666,0,E09000003,Barnet,116787,339,8306624,0.00004081
West Hendon,E05000062,342.865,0,E09000003,Barnet,51065,250,3428659,0.000072914
Golders Green,E05000053,297.292,0,E09000003,Barnet,116790,252,2972918,0.000084765
Colindale,E05000046,263.627,0,E09000003,Barnet,51066,202,2636245,0.000076624
Childs Hill,E05000045,309.301,0,E09000003,Barnet,50578,231,3093001,0.000074684
Garden Suburb,E05000052,472.705,0,E09000003,Barnet,119325,359,4727041,0.000075946
Finchley Church End,E05000051,272.564,0,E09000003,Barnet,116791,270,2725662,0.000099058
East Finchley,E05000049,250.989,0,E09000003,Barnet,50492,294,2509887,0.000117136
Edgware,E05000050,555.652,0,E09000003,Barnet,50509,253,5556466,0.000045532
Mill Hill,E05000057,938.921,0,E09000003,Barnet,116788,406,9389235,0.000043241
Hale,E05000054,542.315,0,E09000003,Barnet,116792,243,5423194,0.000044807
Totteridge,E05000059,877.446,0,E09000003,Barnet,123573,259,8774457,0.000029517
Oakleigh,E05000058,331.861,0,E09000003,Barnet,50501,289,3318593,0.000087085
Woodhouse,E05000063,262.117,0,E09000003,Barnet,116794,275,2621158,0.000104915
Coppetts,E05000047,272.058,0,E09000003,Barnet,116795,219,2720603,0.000080496
Brunswick Park,E05000043,317.526,0,E09000003,Barnet,50500,298,3175249,0.00009385
East Barnet,E05000048,374.943,0,E09000003,Barnet,50507,275,3749403,0.000073345
Burnt Oak,E05000044,206.719,0,E09000003,Barnet,51073,193,2067227,0.000093361
Hendon,E05000055,283.871,0,E09000003,Barnet,50547,278,2838694,0.000097932
West Finchley,E05000061,216.344,0,E09000003,Barnet,116793,251,2163448,0.000116018
Streatham South,E05000431,169.809,0,E09000022,Lambeth,50786,152,1698068,0.000089513
St. Leonard's,E05000428,144.773,0,E09000022,Lambeth,51191,148,1447728,0.000102229
Streatham Wells,E05000432,144.978,0,E09000022,Lambeth,51190,145,1449790,0.000100014
Knight's Hill,E05000424,147.166,0,E09000022,Lambeth,117361,215,1471654,0.000146094
Thornton,E05000433,107.759,0,E09000022,Lambeth,117357,141,1077579,0.000130848
Streatham Hill,E05000430,127.063,0,E09000022,Lambeth,117358,137,1270630,0.00010782
Clapham Common,E05000418,133.854,0,E09000022,Lambeth,51276,143,1338555,0.000106831
Brixton Hill,E05000417,113.124,0,E09000022,Lambeth,117363,168,1131232,0.00014851
Tulse Hill,E05000435,103.195,0,E09000022,Lambeth,117359,134,1031948,0.000129851
Coldharbour,E05000420,120.806,0,E09000022,Lambeth,117364,164,1208061,0.000135754
Ferndale,E05000421,85.073,0,E09000022,Lambeth,50790,100,850733,0.000117545
Larkhall,E05000425,106.124,0,E09000022,Lambeth,50793,130,1061257,0.000122496
